Trailmaster on War-Cockerel                                            || 105 x 70mm (Fan-made faction)
Hedge Hermit                                                           || 25mm (Fan-made faction)
Mephistio Hartstock                                                    || 25mm (Fan-made faction)
Head Chef                                                              || 25mm (Fan-made faction)
Trail Thief                                                            || 25mm (Fan-made faction)
Yonella Lightfoot                                                      || 120 x 92mm (Fan-made faction)
Arwen ‘Jax Son of the Jade Forest                                      || 105 x 70mm (Fan-made faction)
Gnomad Drovers                                                         || 25mm (Fan-made faction)
Gastrognome Guard                                                      || 60 x 35mm (Fan-made faction)
Gnomad Scouts                                                          || 25mm (Fan-made faction)
Gryph-Hound Hobelars                                                   || 50mm (Fan-made faction)
Gnomad Scouts riding Jade Eagles                                       || 50mm (Fan-made faction)
Gastrognome War-Caravan                                                || 120 x 92mm (Fan-made faction)
Gnomad Hotpot                                                          || 50 x 25mm (Fan-made faction)
Spectral Briar Hedge                                                   || 177 x 32mm (Fan-made faction. See Prismatic Palisade)
Habbinkerr Sentry                                                      || 50mm (Fan-made faction)
Detritus Denizen Swarm                                                 || 177 x 32mm (Fan-made faction. See Prismatic Palisade)
