Blissbarb Archers                                                      || 28.5mm [10], 2 5 m m   [1] 
Daemonettes                                                            || 25mm 
Seekers                                                                || 25 x 50mm 
Bladebringer, Herald on Exalted Chariot                                || 120 x 92mm 
Bladebringer, Herald on Hellflayer                                     || 120 x 92mm 
Bladebringer, Herald on Seeker Chariot                                 || 120 x 92mm 
Contorted Epitome                                                      || 75 x 42mm 
Dexcessa, the Talon of Slaanesh                                        || 105 x 70mm 
Infernal Enrapturess, Herald of Slaanesh                               || 60 x 35mm 
Lord of Hubris                                                         || 40mm 
Lord of Pain                                                           || 40mm 
The Masque                                                             || 32mm 
Shardspeaker of Slaanesh                                               || 32mm 
Sigvald, Prince of Slaanesh                                            || 60mm 
Syll'Esske, the Vengeful Allegiance                                    || 50mm 
Synessa, the Voice of Slaanesh                                         || 105 x 70mm 
Viceleader, Herald of Slaanesh                                         || 25mm 
Glutos Orscollion, Lord of Gluttony                                    || 170 x 105mm 
Keeper of Secrets                                                      || 100mm 
Shalaxi Helbane                                                        || 100mm 
Blissbarb Seekers                                                      || 75 x 42mm 
The Dread Pageant                                                      || 32mm [1], 40mm [1], 25mm [2] 
Exalted Chariot                                                        || 120 x 92mm 
Fiends                                                                 || 75 x 42mm 
Hellflayer                                                             || 120 x 92mm 
Hellstriders with Claw-spears                                          || 60 x 35mm 
Hellstriders with Hellscourges                                         || 60 x 35mm 
Myrmidesh Painbringers                                                 || 32mm 
Seeker Chariot                                                         || 120 x 92mm 
Slaangor Fiendbloods                                                   || 40mm 
Slickblade Seekers                                                     || 75 x 42mm 
Symbaresh Twinsouls                                                    || 32mm 
Dreadful Visage                                                        || 90 x 52mm 
Mesmerising Mirror                                                     || 90 x 52mm 
Wheels of Excruciation                                                 || Use model 
Fane of Slaanesh                                                       || Use model
