Plaguebearers                                                          || 32mm 
Putrid Blightkings                                                     || 40mm 
Epidemius, Tallyman of Nurgle                                          || 60mm 
Fecula Flyblown                                                        || 40mm 
The Wurmspat                                                           || 2 
Festus the Leechlord                                                   || 40mm 
Gutrot Spume                                                           || 40mm 
Harbinger of Decay                                                     || 90 x 52mm 
Horticulous Slimux                                                     || 105 x 70mm 
Lord of Afflictions                                                    || 60mm 
Lord of Blights                                                        || 40mm 
Lord of Plagues                                                        || 40mm 
Poxbringer, Herald of Nurgle                                           || 32mm 
Rotbringer Sorcerer                                                    || 32mm 
Rotbringer Sorcerer (Rot Coven)                                        || 32mm 
Rotbringer Sorcerer (Rot Coven)                                        || 1 
Rotbringer Sorcerer (Rot Coven)                                        || 1 
Sloppity Bilepiper, Herald of Nurgle                                   || 32mm 
Spoilpox Scrivener, Herald of Nurgle                                   || 40mm 
Bloab Rotspawned                                                       || 100mm 
The Glottkin                                                           || 130mm 
Great Unclean One                                                      || 130mm 
Morbidex Twiceborn                                                     || 100mm 
Orghotts Daemonspew                                                    || 100mm 
Rotigus                                                                || 130mm 
Beasts of Nurgle                                                       || 60mm 
Nurglings                                                              || 40mm 
Plague Drones                                                          || 60mm 
Pusgoyle Blightlords                                                   || 60mm 
Pusgoyle Blightlords                                                   || 60mm 
Rotmire Creed                                                          || 32mm [2], 28.5mm [2], 25mm [6] 
Feculent Gnarlmaw                                                      || Use model
