Chainrasps                                                             || 25mm
Grimghast Reapers                                                      || 32mm
Hexwraiths                                                             || 60 x 35mm
Spirit Hosts                                                           || 50mm
Black Coach                                                            || 170 x 105mm
Awlrach the Drowner                                                    || 80mm
The Briar Queen                                                        || 32mm
Thorns of the Briar Queen                                              || 25mm
Cairn Wraith                                                           || 25mm
Dreadblade Harrow                                                      || 60 x 35mm
Guardian of Souls                                                      || 32mm
Knight of Shrouds                                                      || 32mm
Knight of Shrouds on Ethereal Steed                                    || 75 x 42mm
Krulghast Cruciator                                                    || 40mm
Kurdoss Valentian, the Craven King                                     || 60mm
Lady Olynder, Mortarch of Grief                                        || 60mm
Lord Executioner                                                       || 40mm
Reikenor the Grimhailer                                                || 75 x 42mm
Scriptor Mortis                                                        || 40mm
Spirit Torment                                                         || 40mm
Tomb Banshee                                                           || 25mm
Nagash, Supreme Lord of the Undead                                     || 130mm
Bladegheist Revenants                                                  || 32mm
Chainghasts                                                            || 32mm
Craventhrone Guard                                                     || 32mm
Dreadscythe Harridans                                                  || 32mm
Glaivewraith Stalkers                                                  || 32mm
Myrmourn Banshees                                                      || 32mm
Mortalis Terminexus                                                    || 50mm
Shyish Reaper                                                          || 105 x 70mm
Vault of Souls                                                         || 50mm
Mourngul                                                               || 60mm (No longer in pdf)
