Beast-skewer Killbow                                                   || 90 x 52mm 
Gutrippaz                                                              || 32mm 
Orruk Ardboys                                                          || 32mm 
Orruk Brutes                                                           || 40mm 
Savage Orruks                                                          || 32mm 
Breaka-boss on Mirebrute Troggoth                                      || 80mm 
Hedkrakka, Gob of Gork                                                 || 32mm 
Hed k ra k k a’s Mad mob                                               || 40mm [1], 32mm [2] 
Killaboss on Great Gnashtoof                                           || 105 x 70mm 
Killaboss with Stab-grot                                               || 40mm [1], 2 5 m m   [1] 
Maniak Weirdnob                                                        || 60 x 35 mm 
Mannok da Kunnin’                                                      || 40mm 
Da Kunnin’ Krew                                                        || 32mm [1], 25m m [3] 
Murknob with Belcha-banna                                              || 40mm 
Orruk Megaboss                                                         || 60mm 
Orruk Warchanter                                                       || 40mm 
Orruk Weirdnob Shaman                                                  || 40mm 
Savage Big Boss                                                        || 32mm 
Swampcalla Shaman and Pot-grot                                         || 40mm [1], 2 5 m m   [1] 
Wa rdok k                                                              || 32mm 
Wurrgog Prophet                                                        || 32mm 
Gobsprakk, the Mouth of Mork                                           || 130mm 
Gordrakk, the Fist of Gork                                             || 160mm 
Killaboss on Corpse-rippa Vulcha                                       || 130mm 
Kragnos, the End of Empires                                            || 130mm 
Megaboss on Maw-krusha                                                 || 160mm 
Snatchaboss on Sludgeraker Beast                                       || 120 x 92mm 
Swampboss Skumdrekk                                                    || 120 x 92mm 
Hobgrot Slittaz                                                        || 25mm 
Ironskull’s Boyz                                                       || 32mm 
Man-skewer Boltboyz                                                    || 32mm 
Marshcrawla Sloggoth                                                   || 105 x 70mm 
Morgok’s Krushas                                                       || 40mm 
Orruk Gore-gruntas                                                     || 90 x 52mm 
Savage Big Stabbas                                                     || 60 x 35mm 
Savage Boarboy Maniaks                                                 || 60 x 35mm 
Savage Boarboys                                                        || 60 x 35mm 
Savage Orruk Arrowboys                                                 || 32mm 
Savage Orruk Morboys                                                   || 32mm
