Plagueclaw                                                             || 120 x 92mm
Warp Lightning Cannon                                                  || 120 x 92mm
Warplock Jezzails                                                      || 60 x 35mm
Clanrats                                                               || 25mm
Stormvermin                                                            || 25mm
Doomwheel                                                              || 105 x 70mm
Hell Pit Abomination                                                   || 120 x 92mm
Arch-Warlock                                                           || 32mm
Clawlord                                                               || 32mm
Deathmaster                                                            || 32mm
Grey Seer                                                              || 32mm
Master Moulder                                                         || 32mm
Plague Priest                                                          || 32mm
Skritch Spiteclaw                                                      || 32mm
Spiteclaw's Swarm                                                      || 25mm
Slynk Skittershank                                                     || 32mm
Skittershank's Clawpack                                                || 32mm [1], 25mm [3]
Warlock Bombardier                                                     || 32mm
Warlock Engineer                                                       || 32mm
Grey Seer on Screaming Bell                                            || 120 x 92mm
Lord Skreech Verminking                                                || 120 x 92mm
Plague Priest on Plague Furnace                                        || 120 x 92mm
Thanquol on Boneripper                                                 || 90 x 52mm
Verminlord Corruptor                                                   || 120 x 92mm
Verminlord Deceiver                                                    || 120 x 92mm
Verminlord Warbringer                                                  || 120 x 92mm
Verminlord Warpseer                                                    || 120 x 92mm
Doom-Flayer                                                            || 60 x 35mm
Giant Rats                                                             || 25mm
Gutter Runners                                                         || 25mm
Night Runners                                                          || 25mm
Packmasters                                                            || 25mm
Plague Censer Bearers                                                  || 32mm
Plague Monks                                                           || 25mm
Rat Ogors                                                              || 50mm
Rat Swarms                                                             || 50mm
Ratling Gun                                                            || 60 x 35mm
Skryre Acolytes                                                        || 32mm
Stormfiends                                                            || 60mm
Warp-Grinder                                                           || 60 x 35mm
Warpfire Thrower                                                       || 60 x 35mm
Bell of Doom                                                           || 40mm
Vermintide                                                             || 120 x 92mm
Warp Lightning Vortex                                                  || 40mm
Gnawhole                                                               || Use model
