Deadwalker Zombies                                                     || 25mm 
Deathrattle Skeletons                                                  || 25mm 
Dire Wolves                                                            || 60 x 35mm 
Mortis Engine                                                          || 120 x 92mm 
Te r r o r g h e i s t                                                 || 130mm 
Zombie Dragon                                                          || 130mm 
Belladamma Volga, First of the Vyrkos                                  || 60mm 
Cado Ezechiar, the Hollow King                                         || 40mm 
Deintalos the Exile                                                    || 28.5mm 
The Exiled Dead                                                        || 25mm 
Gorslav the Gravekeeper                                                || 40mm 
Ivya Volga, the Outcast                                                || 40mm 
King Morlak Velmorn                                                    || 32mm 
The Sons of Velmorn                                                    || 40mm [1], 25mm [3] 
Kritza, the Rat Prince                                                 || 60 x 35mm 
Lady Annika, the Thirsting Blade                                       || 60 x 35mm 
Lauka Vai, Mother of Nightmares                                        || 80mm 
Necromancer                                                            || 32mm 
Prince Duvalle                                                         || 32mm 
The Crimson Court                                                      || 3 
Radukar the Beast                                                      || 60mm 
Radukar the Wolf                                                       || 40mm 
Torgillius the Chamberlain                                             || 40mm 
Vampire Lord                                                           || 40mm 
Vengorian Lord                                                         || 80mm 
Watch Captain Halgrim                                                  || 32mm 
Wight King                                                             || 32mm 
Wight King on Skeletal Steed                                           || 75 x 42mm 
Bloodseeker Palanquin                                                  || 120 x 92mm 
Coven Throne                                                           || 120 x 92mm 
Mannfred von Carstein, Mortarch of Night                               || 120 x 92mm 
Nagash, Supreme Lord of the Undead                                     || 130mm 
Neferata, Mortarch of Blood                                            || 120 x 92mm 
Prince Vhordrai                                                        || 130mm 
Vampire Lord on Zombie Dragon                                          || 130mm 
Askurgan Trueblades                                                    || 40mm [1], 32mm [4], 28mm [3] 
Black Knights                                                          || 60 x 35mm 
Blood Knights                                                          || 75 x 42mm 
Corpse Cart                                                            || 105 x 70mm 
Fell Bats                                                              || 40mm 
Grave Guard                                                            || 25mm 
Kosargi Nightguard                                                     || 40mm 
The Sepulchral Guard                                                   || 25mm 
Va r g hei s t s                                                       || 50mm 
Va r gs k y r                                                          || 50mm 
Vyrkos Blood-born                                                      || 32mm
