Celestar Ballista                                                      || 60mm [1], 40mm [2] 
Judicators with Boltstorm Crossbows                                    || 40mm 
Judicators with Skybolt Bows                                           || 40mm 
Liberators                                                             || 40mm 
Sequitors                                                              || 40mm 
Vanquishers                                                            || 40mm 
Vindictors                                                             || 40mm 
Astreia Solbright                                                      || 90 x 52mm 
Aventis Firestrike, Magister of Hammerhal                              || 100mm 
Averon Stormsire                                                       || 40mm 
Stormsire’s Cursebreakers                                              || 2 
Celestant-Prime, Hammer of Sigmar                                      || 100mm 
Gardus Steel Soul                                                      || 50mm 
Gavriel Sureheart                                                      || 40mm 
Knight-Arcanum                                                         || 40mm 
Knight-Azyros                                                          || 50mm 
Knight-Draconis                                                        || 105 x 70mm 
Knight-Heraldor                                                        || 40mm 
Knight-Incantor                                                        || 40mm 
Knight-Judicator with Gryph-hounds                                     || 90 x 52mm [1], 40mm [2] 
Knight-Questor                                                         || 40mm 
Knight-Relictor                                                        || 40mm 
Knight-Venator                                                         || 50mm 
Knight-Vexillor                                                        || 40mm 
Knight-Vexillor with Banner of Apotheosis                              || 40mm 
Knight-Zephyros                                                        || 40mm 
Lord-Aquilor                                                           || 90 x 52mm 
Lord-Arcanum                                                           || 40mm 
Lord-Arcanum on Celestial Dracoline                                    || 90 x 52mm 
Lord-Arcanum on Gryph-charger                                          || 90 x 52mm 
Lord-Arcanum on Tauralon                                               || 100mm 
Lord-Castellant                                                        || 40mm 
Lord-Celestant                                                         || 40mm 
Lord-Celestant on Dracoth                                              || 90 x 52mm 
Lord-Commander Bastian Carthalos                                       || 50mm 
Lord-Exorcist                                                          || 40mm 
Lord-Imperatant                                                        || 40mm [1], 32mm   [1] 
Lord-Ordinator                                                         || 40mm 
Lord-Relictor                                                          || 40mm 
Lord-Veritant                                                          || 40mm 
Neave Blacktalon                                                       || 40mm 
Vandus Hammerhand                                                      || 90 x 52mm 
Yndrasta, the Celestial Spear                                          || 60mm 
Drakesworn Templar                                                     || 170 x 105mm 
Karazai the Scarred                                                    || 160mm 
Krondys, Son of Dracothion                                             || 160mm 
Lord-Celestant on Stardrake                                            || 170 x 105mm 
Aetherwings                                                            || 32mm 
Annihilators                                                           || 40mm 
Annihilators with Meteoric Grandhammers                                || 40mm 
Castigators                                                            || 40mm 
Decimators                                                             || 40mm 
Domitan’s Stormcoven                                                   || 40mm [3] 
Dracothian Guard Concussors                                            || 90 x 52mm 
Dracothian Guard Desolators                                            || 90 x 52mm 
Dracothian Guard Fulminators                                           || 90 x 52mm 
Dracothian Guard Fulminators                                           || 90 x 52mm 
Dracothian Guard Tempestors                                            || 90 x 52mm 
Evocators                                                              || 40mm 
Evocators on Celestial Dracolines                                      || 90 x 52mm 
The Farstriders                                                        || 40mm 
Gryph-hounds                                                           || 40mm 
Praetors                                                               || 40mm 
Prosecutors with Celestial Hammers                                     || 40mm 
Prosecutors with Stormcall Javelins                                    || 40mm 
Protectors                                                             || 40mm 
Questor Soulsworn                                                      || 40mm 
Retributors                                                            || 40mm 
Steelheart’s Champions                                                 || 40mm 
Stormdrake Guard                                                       || 105 x 70mm 
Stormdrake Guard                                                       || 105 x 70mm 
Stormstrike Chariot                                                    || 120 x 92mm 
Vanguard-Hunters                                                       || 40mm 
Vanguard-Palladors                                                     || 75 x 42mm 
Vanguard-Raptors with Hurricane Crossbows                              || 40mm 
Vanguard-Raptors with Longstrike Crossbows                             || 60 x 35mm [2], 40mm [1] 
Vigilors                                                               || 40mm 
Xandire’s Truthseekers                                                 || 40mm [3], 25mm   [1] 
Celestian Vortex                                                       || 65mm 
Dais Arcanum                                                           || 50mm 
Everblaze Comet                                                        || 65mm
